name,weight,polyline,polygon,dimensions,history,image,link,entityIds,themes,types
Inch Park,2,"43.23577634513152,-79.86151316545998,43.2357317207467,-79.86133574357021,43.235470253556194,-79.86029611149253,43.23536851546461,-79.85989161611509,43.235355126272744,-79.85983839615541,43.235260527488954,-79.85946229232168,43.236912718495304,-79.8587517126925,43.237007294889175,-79.8591278555284,43.2370858095904,-79.85909408831421,43.237164327947575,-79.85906032094293,43.23706974765371,-79.85868417705964,43.237148283738286,-79.85865039880476,43.23719798489361,-79.8586290215546,43.23729256156108,-79.85900517095841,43.23730594758523,-79.85905840250729,43.23740766029598,-79.85946294404872,43.23745226603774,-79.85964037450383,43.23755398037747,-79.8600449179516,43.23756735853613,-79.86009814508454,43.23766906779699,-79.86050269015037,43.237713675418526,-79.8606801223521,43.23781756153815,-79.8610933436571,43.23588147939495,-79.86193122895646,43.23577634513152,-79.86151316545998",1,2,,,,1,Politicians,Park
Alexander Park,-1,"43.25073641344931,-79.92713552404133,43.25074530601758,-79.92685634297446,43.25078000223852,-79.92576732662397,43.25078507955098,-79.92560881817396,43.25078943307252,-79.92547295423117,43.250790956363595,-79.92542539180324,43.25082138733265,-79.92541147868319,43.2509083080181,-79.92537172757406,43.2510097177283,-79.92532534554722,43.251157080444244,-79.92525794726582,43.25120295444528,-79.92523696713069,43.2512209664011,-79.92524262251972,43.25142254565769,-79.92530594452529,43.25162412487664,-79.9253692669361,43.25174734727211,-79.92540796963739,43.25187057317329,-79.92544667718313,43.25199379910747,-79.9254853898986,43.25230185833952,-79.92558215791809,43.252505184104066,-79.92564602780007,43.252813246903074,-79.92574280208028,43.25291455921731,-79.92577462781207,43.25293920009418,-79.92578237463752,43.25290543483586,-79.92598357388937,43.25314967185157,-79.92606029286925,43.25320764131996,-79.92632174322699,43.252955160748535,-79.92783629159516,43.25079638237677,-79.92715416145285,43.25073641344931,-79.92713552404133",1,2,,,,2,Politicians,Park
Andrew Warburton Memorial Park,-1,"43.24547504322298,-79.80290465854556,43.24548323245853,-79.80294171217224,43.245655753927856,-79.80372260650951,43.24546867964891,-79.80380331697337,43.24530861625739,-79.80387238307611,43.24527930692997,-79.804042777269,43.245173574636546,-79.80357329862449,43.24505744202822,-79.80305770128015,43.24503318518942,-79.80295011169416,43.245008917196614,-79.80284251765767,43.24486065749035,-79.80218632964052,43.24545555659945,-79.80193000382573,43.24565651412373,-79.80184341345668,43.24569556537971,-79.80182658560736,43.24577434619927,-79.80218300432745,43.24575554422954,-79.80219088164199,43.24583898078805,-79.80255208752443,43.2455112503026,-79.80269350943054,43.24547504322298,-79.80290465854556",1,2,,,,3,Youth,Park
Brockhouse Park,-1,"43.217459230598145,-79.98704655576458,43.21746720875173,-79.98699814072775,43.217543184400405,-79.98660304395901,43.21792641391099,-79.98672202964151,43.21801188264637,-79.98674845962447,43.217966102226775,-79.98680897626849,43.2177543650901,-79.98713742857866,43.217459230598145,-79.98704655576458",1,2,,,,4,Science,Park
Bill Foley Parkette,-1,"43.234779904352386,-79.82995581221545,43.23453508656223,-79.82966856542932,43.23333936003779,-79.82747268947519,43.23326069305139,-79.82729713990223,43.2331889134632,-79.82704920659619,43.23357662653292,-79.82772819528806,43.234321660077605,-79.82891669397704,43.234779904352386,-79.82995581221545",1,2,,,,5,Politicians,Park
Billy Sherring Park,-1,"43.200269611550446,-79.86488738313338,43.19860467154622,-79.86564121200618,43.198995409422984,-79.86720240246402,43.19808274912828,-79.86761587104039,43.197993585147515,-79.86765626586889,43.197974358059994,-79.8676649761676,43.19795513097176,-79.86767368646075,43.197679486259986,-79.86657261483022,43.19766200213641,-79.86650277266406,43.1973705684481,-79.86533873114506,43.19694307807329,-79.86363135327599,43.19679340403713,-79.86303359107359,43.19783353355931,-79.86255541675719,43.19802004597961,-79.8633005072254,43.198462107689465,-79.86309728398678,43.19898217775242,-79.86285816072436,43.198810767177584,-79.86217338990193,43.19898239612159,-79.86209448460698,43.19915380380121,-79.86277924714132,43.19967165759525,-79.8625411537789,43.20004760193151,-79.8640142262407,43.20004850511036,-79.86401777372011,43.20010815696208,-79.86425151908566,43.200269611550446,-79.86488738313338",1,2,,billySherring.jpg,,6,Sports,Park
Bobby Kerr Park,-1,"43.215898579685344,-79.83951858444769,43.21576222234578,-79.83901470204862,43.215504812202745,-79.83912080742452,43.215282614820175,-79.8381910408737,43.215247224449584,-79.83804295957432,43.215352210694675,-79.83799964810916,43.21586260958267,-79.83747837465842,43.21643220208666,-79.83712925865075,43.21647325310773,-79.83711232529424,43.21660022265464,-79.83764359679232,43.2166010764719,-79.83764716583737,43.21682250035291,-79.83857374407762,43.21682335414143,-79.83857731314917,43.2168257090252,-79.83858717707038,43.21702863389246,-79.8393370131257,43.21702959165004,-79.83934053589364,43.21741768990132,-79.84077469485659,43.216561094870016,-79.84112635712266,43.21635639559468,-79.84121039866251,43.215898579685344,-79.83951858444769",1,2,,,,7,Sports,Park
Bruce Park,-1,"43.240166216812916,-79.87116939654608,43.238301115120635,-79.87202850658144,43.238193431839456,-79.87156557594457,43.23808575060894,-79.87110265165542,43.23797806732795,-79.87063972903583,43.23787037157421,-79.87017680854248,43.23814332031925,-79.87005076541368,43.23827350579147,-79.86999065057077,43.23840369093677,-79.86993052570016,43.2384686814692,-79.8699005143083,43.23853387628465,-79.8698704053178,43.238598866798505,-79.86984039379556,43.23866406140472,-79.86981028494186,43.238729048231846,-79.86978027335704,43.23879424667792,-79.86975016403713,43.238924431913645,-79.86969004287117,43.238989422178385,-79.86966003096134,43.23905461692154,-79.86962992171166,43.239131952150146,-79.86959421280687,43.23921084348269,-79.86955778043304,43.239346241879915,-79.86949525662752,43.23947643048174,-79.86943513930699,43.23971747830514,-79.86932382381882,43.240166216812916,-79.87116939654608",1,2,,,,8,Business,Park
Captain Cornelius Park,-1,"43.22515512160564,-79.89648855181264,43.22423295657383,-79.89689287705208,43.22421572535346,-79.89682144758946,43.22422587570176,-79.89680443887029,43.22423487427209,-79.89678629070801,43.22424266993342,-79.89676710726647,43.22424920256101,-79.89674702112472,43.22425437887878,-79.89672635134687,43.22425822557419,-79.89670498206561,43.22426066580779,-79.89668327482416,43.22426168845594,-79.89666145769465,43.22426129095317,-79.89663942484317,43.22425947777638,-79.89661766044732,43.224256261444495,-79.89659618118158,43.22425167451354,-79.8965751992796,43.2242457135983,-79.8965547441126,43.22423848518484,-79.89653518553489,43.22423003684438,-79.89651661087981,43.22422035619359,-79.89649901746704,43.22420962492195,-79.89648274448436,43.224197869916445,-79.89646781679514,43.224185216852504,-79.89645439161455,43.224171709075904,-79.89644251859265,43.22415746784603,-79.89643231752946,43.22414268691325,-79.89642391668662,43.22412734300147,-79.89641730512903,43.22411170679938,-79.89641260022431,43.2240957426878,-79.89640979257997,43.224079705276466,-79.89640893410657,43.22406368719767,-79.89641001943482,43.224047781860854,-79.89641304370953,43.224032157523084,-79.89641797458502,43.22401691501039,-79.89642477538729,43.22400214032639,-79.89643341419867,43.223988019324665,-79.89644378125595,43.223974618087816,-79.8964558212374,43.22396205069227,-79.89646942989995,43.223348002775055,-79.89504188640993,43.223288273114235,-79.89488793929252,43.22323691704224,-79.89472843497539,43.223194199003196,-79.894564185567,43.22322808950709,-79.89454933931614,43.223538960282646,-79.89441315164025,43.22317102553041,-79.8929318651141,43.22307615480022,-79.89254993315993,43.22301538558082,-79.89230528720992,43.222979720104576,-79.89216174105192,43.22293559906058,-79.89198413729024,43.224543382764615,-79.89128119312089,43.22473112312217,-79.89206795056543,43.224771757246785,-79.89221621166668,43.22482161087038,-79.89235924267183,43.224880213529524,-79.89249571580967,43.22494722981549,-79.89262486987064,43.22502212005647,-79.89274564710864,43.22537143777326,-79.89326206732026,43.225391726608684,-79.89328951990422,43.225413744107556,-79.89331450934009,43.225437203885875,-79.8933367131235,43.22546195225951,-79.89335601309858,43.22548796742254,-79.89337237057815,43.22551481726213,-79.89338550873147,43.22554247934361,-79.89339542373581,43.22557063097754,-79.89340199230455,43.225599029655925,-79.89340517604427,43.225627574500635,-79.8934049662132,43.225656080888314,-79.89340134000562,43.225684114022165,-79.89339436205334,43.22571167709257,-79.89338404285625,43.22580323501654,-79.89334372628896,43.225819959134014,-79.89341378928849,43.2256810948554,-79.89347462402208,43.22455465597047,-79.89396815770074,43.22515512160564,-79.89648855181264",1,2,,,,9,Sports,Park
Churchill Park,-1,"43.26761781373715,-79.90481967076879,43.26724178208817,-79.9049794534366,43.267050867727285,-79.90508108257336,43.26689233115905,-79.90512224600923,43.266795094858125,-79.90515183673423,43.26669752500741,-79.90514656191354,43.266592942181525,-79.90508596423179,43.266506494280826,-79.90500089081432,43.26635842349545,-79.9048749043904,43.26631547013093,-79.90486532422962,43.26628498292063,-79.90486932082294,43.26623695789472,-79.90489433285335,43.26613408403927,-79.90498403203581,43.2658982793784,-79.90531589599212,43.2657777537319,-79.90549943271974,43.265631018294066,-79.90566347675386,43.265242496304154,-79.90622341916462,43.26437509128239,-79.90589556998655,43.2638818022218,-79.90570913561568,43.263919186848305,-79.9055669568619,43.26395407631611,-79.90541407804893,43.26397985088159,-79.9052577439731,43.26399631539941,-79.90509911308537,43.264003368895246,-79.90493925654829,43.26400097087126,-79.90477904733798,43.26398913752424,-79.90461969296886,43.26396794037372,-79.9044621283478,43.26393753084834,-79.90430746608301,43.26385703574099,-79.90395237071706,43.26434113080706,-79.90373160240533,43.26425985845099,-79.9033730618767,43.26447860260467,-79.9032732981223,43.26442245147778,-79.90302556961764,43.264762279099926,-79.90287747303411,43.264817020015236,-79.90311895922736,43.264988820898,-79.90304057419304,43.26613781030345,-79.90251634123143,43.26621270659561,-79.90248217004256,43.266384115975356,-79.90240207328874,43.26765938332663,-79.90181906044491,43.26778949730338,-79.90175957581276,43.268048958171796,-79.90164064387479,43.26830915768876,-79.90152137234668,43.26848111883149,-79.90144367547656,43.26978175116423,-79.9008496960017,43.26995365934461,-79.90077176449527,43.270026637242815,-79.90073893463307,43.270119157210466,-79.90069732414645,43.270211680782616,-79.90065570870965,43.2703042007143,-79.90061409796577,43.27039672772536,-79.90057248220911,43.27040976042136,-79.90056662343912,43.270489251144404,-79.90053087616519,43.27050097857651,-79.90052560292192,43.27072922962938,-79.90042294101912,43.270888559019184,-79.90035127683493,43.271022688285775,-79.90075307547998,43.27102353406811,-79.90075675706122,43.271027047613664,-79.90077567092813,43.271029300690245,-79.90079460774788,43.27103194578079,-79.90081686437385,43.27103383386875,-79.90083531468211,43.2710349225429,-79.90085488842051,43.27103602996303,-79.90087643336365,43.27103793836216,-79.90089697825398,43.27103951729349,-79.9009207327968,43.27104036764078,-79.90094363821677,43.27104128446044,-79.90096407755178,43.2710416646548,-79.90098489622471,43.27104122492371,-79.90100474401375,43.27103980328598,-79.90102547197147,43.271037587958396,-79.90104793947407,43.27103660093806,-79.90106705748394,43.27103678915515,-79.90108664742993,43.27102643274015,-79.90132084469195,43.27102352022457,-79.90139261588948,43.27102102645525,-79.90141422588196,43.27101972547309,-79.90143815537408,43.27101810726272,-79.90145716185127,43.27101579459,-79.9014788914563,43.27101372852897,-79.90149815226407,43.271009704184195,-79.90151978977858,43.27100627802305,-79.90153808914371,43.27100151680928,-79.90155801464323,43.270994155529294,-79.90157909567988,43.27098750370177,-79.90159905517532,43.270979674457934,-79.90161829621745,43.27097048649906,-79.90163669945586,43.270961998523084,-79.90165299489385,43.27095229049605,-79.90167350215194,43.27094444467815,-79.90169101847434,43.27093741128885,-79.90170876645911,43.270927927199786,-79.90172446383443,43.27091829137887,-79.90174312137204,43.27090802541694,-79.90176179023523,43.27089746078057,-79.90177750702533,43.27088353437936,-79.901790080283,43.27084203727496,-79.9018290271252,43.27079082604902,-79.90187849985823,43.27058060487997,-79.9020228822664,43.270121654970666,-79.90239945737505,43.27005832202633,-79.90242437840591,43.26987239115897,-79.90247269733226,43.2696966193933,-79.90247240551918,43.269608830683765,-79.9024636322735,43.269502527864944,-79.90245851853093,43.269430518296446,-79.90244256116148,43.26932168926387,-79.90239941630588,43.269242443019465,-79.90238001553956,43.269145774013545,-79.9024029473426,43.26894670888207,-79.90254638441289,43.26876846998066,-79.9026925265767,43.26854056685677,-79.90281479242965,43.26834134022922,-79.90289452289444,43.26829407142507,-79.90292322040872,43.268203937356624,-79.90305483934709,43.26822453506865,-79.90355019455384,43.26828813071136,-79.90382507242587,43.268291108956824,-79.9039291421289,43.26825963971425,-79.90421595369213,43.26819754210988,-79.90433228092114,43.26813330638936,-79.90444162266665,43.26803455477659,-79.90454800973274,43.26790284162609,-79.90461629569549,43.26781161690911,-79.90466241495191,43.26761781373715,-79.90481967076879",1,2,,,,10,Business,Park
