"Date","Headline","Place","Name","Story"
"12/11/2012","A.M. CUNNINGHAM SCHOOL","A.M. Cunningham Elementary School is on Wexford Avenue South in Hamilton.","Alexander McKenzie Cunningham (1863-1926) was a local photographer and Hamilton Board of Education trustee.","After being elected trustee for the Hamilton board, he became chairman and pushed for standardizing school buildings to save costs. He set out to photograph every school, class and staff member in the board, something that was completed the year after he died. Those photographs have become a cherished collection at the board's Educational Archives and Heritage Centre."
"2/20/2013","A.N. BOURNS SCIENCE BUILDING","The A.N. Bourns Building is on College Crescent at the McMaster University campus in Westdale.","Arthur Newcombe Bourns, now 93, is a former president of McMaster who worked as a chemistry professor and served in various senior administration posts at the university.","Bourns came to McMaster in 1947 as an assistant professor and became a full professor six years later. From there he was promoted to chairman, dean and vice-president of science and engineering. From 1972 to 1980, he served as president."
"4/9/2013","ADDISON STREET","Addison Street runs from Darien Road to Berton Avenue near Walker's Line in Burlington.","William and Isabel Addison came to Canada from England in the 1830s, eventually settling in what later became the city of Burlington.","The family lived in a log house on a farm west of Brant Street. Kerns Road passes through the former Addison homestead, according to the book Burlington Streets by Peggy and Les Armstrong."
"12/28/2012","Adelaide Hoodless School","Adelaide Hoodless is an elementary school on Maplewood Avenue, just east of Sherman.","Adelaide Hoodless was a strong advocate for women and children and a proponent of including domestic science courses in the city's elementary schools.","One of Hamilton's oldest elementary schools, Adelaide Hoodless opened in 1911 - a year after the death of its namesake."
"10/4/2012","AIKMAN AVENUE","Aikman Avenue runs between Wentworth and Burris, and King and Main streets.","John Aikman (1764-1841) was a United Empire Loyalist who settled with his wife, Hannah (Showers), in the area in 1787. The family lived near what is now King Street and Sanford Avenue.","John and his three sons: Alexander (1790-1876), John (1791-1878) and Michael (1796-1881), took part in the battles of Queenston Heights and Lundy's Lane in the War of 1812. Alexander Aikman is believed to be the first non-native child to be born in what later became known as Hamilton."
"10/16/2012","Ainslie Avenue","Ainslie Avenue runs in the west end, near the escarpment, between Bowman and Clifford streets.","George Howlett Ainslie was a farmer who moved onto a 24-hectare parcel of land in Hamilton in 1838, which ran from what is now Longwood Road, south of Main Street West, to the edge of Ancaster.","Through the mid- to late 1800s, parts of the property increasingly became used for recreational sports, and the area was known as Ainslie Wood. There was a zoo and food stands. However, through the 1900s, railway property expanded on the site and Highway 403 cut through it. Apartments and houses eventually took over. Today, Ainslie Wood continues as the name of that neighbourhood."
"7/8/2013","Albemarle Street","Runs between Gertrude Street and the CN Tracks, north of Barton Street East.","William Coutts Keppel, Viscount Bury was the only son and heir of the Sixth Earl of Albemarle.","He was appointed Civil Secretary and Superintendent of Indian Affairs in Upper Canada in 1854 under Sir Allan MacNab, who was prime minister of pre-Confederation Canada at the time. The following year, he married Sophia Mary MacNab, daughter of Sir Allan. Together they had 10 children, and their descendants include Camilla, the Duchess of Cornwall."
"7/15/2013","Alberton","Alberton is a community in Ancaster, at the crossroads of Wilson Street West (Highway 2/53) and Alberton Road.","It is generally accepted that it was named in honour of Prince Albert, husband and consort of Queen Victoria.","According to the book Ancaster's Heritage, the community was first known as Ancaster West. It probably got its more recent designation after the royal couple married in 1840. In 1859, records called it Alberton, but in some records it was still called Ancaster West until 1876. The community had numerous businesses and shops in the late 1800s and was a stagecoach stop; and the widening of the highway over the years led to their removal or closure."
"12/31/2012","ALDERSHOT","Aldershot is a historic village community in the west end of Burlington along Plains Rd.","It is not exactly clear how the community got its name. According to Ontario Place Names, a post office opened in 1856 under the name Aldershott. It is also believed settler William Applegarth gave the community its name. His family came to the area in the 1790s.","Ontario Place Names says it was first settled in 1783 by David Fonger and was known as Brown's Wharf after a landing built by a Colonel Brown in the 1840s. It was also called Burlington Plains, and Port Flamborough at some point. Aldershot was part of East Flamborough Township until 1958, when it was sliced off and amalgamated along with Nelson Township into the Town of Burlington."
"8/23/2013","ALEXANDER PARK","On Whitney Avenue and Rifle Range Road.","The park was named in honour of Field Marshal Harold Rupert Leofric George Alexander (1891-1969), who was governor general of Canada from 1946 to 1952.","The land was a rifle range from the late 19th century until the Second World War. According to Hamilton Public Library archives, area residents asked for it to be transformed into a baseball field, which was done. The park was known as West Hamilton Park until being renamed Alexander Park in 1960."
